movement_type,hexagon_origin,lat_origin,lng_origin,hexagon_destination,lat_destination,lng_destination,start_at,end_at,duration,revenue,cost,start_time,end_time
empty_move,871e80420ffffff,12.543854380458908,41.808746562676525,871e80523ffffff,12.443846169604356,41.91953686751614,480.0,499.2984221044047,19.29842210440473,0.0,13.50889547308331,2025-05-31 08:00:09.074209,2025-05-31 08:19:09.085166
ride,871e80523ffffff,12.443846169604356,41.91953686751614,871e80422ffffff,12.529862629151156,41.78828306950323,499.2984221044061,566.6484737965468,67.35005169214077,29.415006157513105,14.773139570114829,2025-05-31 08:19:09.074279,2025-05-31 09:27:09.085177
empty_move,871e80422ffffff,12.529862629151156,41.78828306950323,871e80518ffffff,12.465912454587285,41.823247960892125,566.6484737965468,575.205269267689,8.556795471142177,0.0,5.989756829799523,2025-05-31 09:27:09.074281,2025-05-31 09:35:09.085178
ride,871e80518ffffff,12.465912454587285,41.823247960892125,871e805a0ffffff,12.329468341418597,41.794715146865336,575.205269267688,628.367112415313,53.16184314762507,23.446400590377227,10.713259347736148,2025-05-31 09:35:09.074283,2025-05-31 10:28:09.085179
empty_move,871e805a0ffffff,12.329468341418597,41.794715146865336,871e80572ffffff,12.5692150942988,41.888591314489815,628.367112415313,657.5873708680448,29.220258452731738,0.0,20.454180916912215,2025-05-31 10:28:09.074284,2025-05-31 10:58:09.085180
wait,871e80572ffffff,12.5692150942988,41.888591314489815,871e80572ffffff,12.5692150942988,41.888591314489815,657.5873708680448,889.9973708680448,232.41,0.0,0.0,2025-05-31 10:58:09.074285,2025-05-31 14:50:09.085181
ride,871e80572ffffff,12.5692150942988,41.888591314489815,871e86259ffffff,12.282179646874878,41.8111181998464,890.0,975.1979270491852,85.1979270491852,52.429194658951545,23.061701007477662,2025-05-31 14:50:09.074286,2025-05-31 16:15:09.085182
empty_move,871e86259ffffff,12.282179646874878,41.8111181998464,871e8625cffffff,12.234883067377856,41.827496200557945,975.1979270491852,980.8272529290556,5.629325879870247,0.0,3.940528115909173,2025-05-31 16:15:09.074287,2025-05-31 16:21:09.085183
wait,871e8625cffffff,12.234883067377856,41.827496200557945,871e8625cffffff,12.234883067377856,41.827496200557945,980.8272529290556,1005.9972529290554,25.17,0.0,0.0,2025-05-31 16:21:09.074288,2025-05-31 16:46:09.085184
ride,871e8625cffffff,12.234883067377856,41.827496200557945,871e8051dffffff,12.479890870263649,41.84371154905606,1006.0,1075.60729795504,69.60729795503985,32.288129630547914,18.5920084006912,2025-05-31 16:46:09.074289,2025-05-31 17:56:09.085185
